gene,undiff_rep1,undiff_rep2,undiff_rep3,diff_rep1,diff_rep2,diff_rep3
Eef1a1,250137,276125,226578,308716,329349,272861
Ubc,246361,270608,209554,233128,405354,282397
COX1,193366,174587,179543,319974,331638,269276
Hsp90ab1,138052,142874,146470,178316,113060,137900
ATP6,113068,131422,115464,206544,163000,156314
Eef2,103905,115684,173795,139948,142837,141924
CYTB,103837,102437,121082,117604,109780,114840
Scd2,84578,79385,59821,172634,148514,194271
COX3,84168,99651,72175,130851,97878,145622
Tuba1a,96651,151428,132406,59818,97524,122755
Actb,126985,123724,116131,75038,112350,62417
Hspa8,108736,140021,108677,110837,98518,80252
Tuba1b,108603,130344,131163,80308,71095,87598
ND4,64584,121876,54485,139930,83710,84773
Atp5b,98202,100119,88708,86824,76762,76795
Map1b,101101,88859,92340,103208,140283,97629
COX2,60910,99217,99549,104400,87315,50187
Actg1,81454,81615,87263,90813,78176,104596
Tuba1c,65110,85405,93090,97991,128370,100030
Ubb,58665,78318,73608,82233,94658,67163
Chgb,35835,54095,49617,76161,83300,79841
Rack1,68629,56411,73646,53445,67953,62016
Acly,56468,75247,64157,66659,52937,63602
ND5,59729,54543,50181,62045,92291,75660
Tubb5,76779,75317,69851,48831,58915,52005
Eno1b,48178,52148,55754,79522,59905,73954
Aldoa,29042,44780,56309,72475,60909,76613
Rpl4,53350,72273,60245,52722,47598,49637
Eif4g2,57544,64278,55380,69535,41477,54377
Atp1a1,50139,48223,61220,57133,55871,38931
Ptma,44359,60135,64610,38857,29247,61817
ND1,41674,55558,51846,50496,64093,56619
Rpl10,39974,55740,46704,39097,56985,54578
Prkar1a,37537,55346,40376,48046,31663,39559
Prph,46706,38260,42160,53991,39570,40727
Rpl8,42724,51477,48127,48660,38191,37929
Eno1,33836,49605,41980,56325,58538,58706
ND2,45233,38965,33032,48095,56028,62735
Canx,37347,56997,44064,45575,42694,44769
Psap,31344,37837,32140,54113,53009,56539
Hsp90aa1,48408,44717,39692,33693,29667,39735
Rps4x,43466,34048,40420,28609,44180,35136
Pkm,27443,39009,28448,44329,41705,32148
Ncl,51082,45211,47417,34933,30445,39686
Rpsa,55491,38965,41505,42918,33865,44755
Pabpc1,31392,30982,66504,41462,41495,35508
Ppia,50756,54735,36212,36046,49541,32549
Maged1,42001,42632,46190,35430,43337,40047
Npm1,39434,45277,40866,31797,27961,26534
Hnrnpu,67764,51664,50526,23910,37375,32246
Flna,52506,48693,43190,45431,38166,33894
Rpl41,35208,45266,37955,31603,26663,36330
Fasn,33656,37100,42872,39444,34541,31723
Gnb1,35980,31451,39640,42332,46846,42365
Atp5a1,36146,24013,27502,28123,30019,26958
Eif3c,36361,37382,31395,30441,34934,30187
Ywhaz,35096,39046,33401,29675,41551,33482
Slc25a4,38360,34806,25689,34704,40994,24915
Ldha,37399,39073,29795,45059,50406,32351
Vgf,30802,27618,38130,28824,28022,26348
Rps3,36509,21378,35576,27837,43017,33121
Rpl7,31467,45473,37189,27132,21000,29695
Hnrnpa2b1,40075,42979,53714,26733,27545,20917
Hnrnpa1,29132,27403,33357,29396,30198,34368
Set,34649,36434,48111,29173,22065,21716
Ddx5,31754,37445,48555,37921,23421,28674
Rplp0,37549,26201,19127,33820,30557,26030
Eprs,34805,31869,27269,31787,37648,32086
H3f3b,25187,47557,40751,26601,25097,34824
Rpl3,23948,36095,29421,35178,36048,38575
Calr,39032,35207,31254,25562,28127,31205
Uba1,22210,34320,41074,31245,27224,30446
Rpl5,27648,25849,35279,35440,26793,32947
Rpl18a,28881,30666,22167,27627,39637,27599
Mest,38005,29105,35181,32552,24721,29419
Rcc2,38085,28699,32677,26336,30999,25565
Hnrnpab,33847,28777,37333,17755,20000,20208
6820431F20Rik,23389,35961,20353,38866,32111,31399
Peg3,26638,28835,30788,29861,30566,28946
Dpysl3,51230,33056,40229,16767,24027,21380
Eif4b,25349,25875,23245,34059,28061,35986
Eif5a,32754,45982,32699,26691,26143,20383
Slc7a5,26820,34263,32524,26027,28130,29404
Fth1,28257,26363,38055,26357,35452,35618
Cct2,30094,32901,24013,19615,21345,31553
Bsg,16343,23862,21928,34051,44137,38489
Eif4g1,34239,32860,32663,22385,26698,24206
Ywhae,28237,25257,28039,26006,20579,23059
ND3,30929,21461,26309,30315,38068,36848
Lars2,24327,22079,28438,43754,29030,33606
Hspa9,26502,23623,29482,32164,24490,21565
Cct5,32116,23015,24122,26033,20408,23449
Aars,26455,27469,28523,26154,21353,35559
Copa,31190,31057,28073,26763,25698,27428
Fscn1,29013,33425,35543,21033,26864,17372
Nedd4,26716,23522,23876,24221,41117,32808
Aco2,21469,38799,27885,24349,26024,22413
Cct4,28866,24007,28418,27801,19911,35419
Scd1,9042,12315,13824,34663,44790,49707
Sptan1,17024,19598,17676,18013,19493,18804
Ubr5,25821,31924,35093,25066,24602,19859
Ddb1,21764,25489,27237,22453,20586,25406
Kpnb1,30368,22234,29699,22084,17105,20295
Tcp1,41432,24296,22916,22068,16496,22767
Sptbn1,19577,31921,23957,21337,30682,24393
Myh9,21483,27849,34341,19917,25012,23090
Chd4,25124,25148,21903,21809,23408,28547
Rpl14-ps1,30095,32725,20736,13313,14246,17544
Rps5,23837,18832,26748,32529,20005,23013
Top2a,29166,26582,30588,15409,14692,24714
Eif2s3x,28379,20089,24934,20288,26727,24055
Xist,22178,17734,15493,20567,34138,28430
Hsp90b1,21741,24896,28379,20489,23871,18969
Rps27a,23380,26534,26718,25739,29705,30327
Caprin1,24511,29676,11366,28579,26785,20584
Ywhag,16097,23593,20135,23863,24253,23577
Rps23,25166,39487,27668,27896,21784,24000
Eif4h,21289,23149,21290,21434,14834,20167
Ahnak,12970,11042,7491,26269,37876,44020
Rps9,23346,25128,23050,26871,24407,28398
Itgb1,21575,18632,31258,20789,18154,19247
Rps6,20650,22200,24633,23383,24595,16634
Psat1,19065,21316,29257,26486,23260,20988
Hspd1,18054,22476,27637,17097,12523,15613
Slc38a1,14075,19091,16689,24662,25640,30620
Vdac1,22038,26139,18077,26092,26303,21316
Hspa5,15457,18896,29346,18422,18724,17334
Dync1h1,23809,13825,16223,19337,22987,34121
Rpl6,16815,23767,20763,24663,21397,14624
Calm3,22685,16715,18484,22237,20846,18181
Asns,15408,18816,19023,32645,21967,23875
Hspa4,26665,21747,23511,14575,14005,12782
Rps24,22756,23858,17167,19478,20719,14959
Prpf8,17638,28944,18974,18695,18748,16915
Serinc1,23179,21777,25283,19649,31497,29418
Nap1l1,30061,22111,23701,23204,19764,17859
Rps25,21776,18172,22176,18785,18356,14646
Rpl27a,20384,13961,20248,14066,15145,18517
Rnf187,20440,14494,22263,21887,13626,27826
Atf4,14341,15061,15045,18006,21278,26050
Eef1g,26624,22570,26816,18976,16934,18693
Sqstm1,15506,15379,20043,25161,25200,29562
Gars,18260,16807,18514,32854,21420,19489
Slc25a5,20497,18021,28026,14857,16163,15744
Prrc2a,19553,16518,21393,17697,21439,11418
Ran,18253,17102,21442,14665,17091,19926
Rplp2,26835,24214,25695,15740,18955,19902
Rplp1,20725,15137,21091,19998,18275,15893
Cnot1,24850,23836,18182,22067,19424,17879
Rrbp1,18665,16016,24896,23394,19748,20477
Snrnp200,19367,24397,21371,10649,22478,18948
Eif3b,21762,24317,25184,18141,15967,14328
Huwe1,18442,23549,26890,17770,20398,16414
Eif3a,21164,26351,16962,14139,22139,21422
Cltc,18647,17476,19008,15933,17630,14555
Arf1,19599,17513,24757,11930,15752,17108
