gene,undifferentiated,differentiated
mt-Cytb,124624,106893
mt-Co2,86145,73159
mt-Atp6,85163,71324
mt-Co3,83095,68208
mt-Nd4,65945,63792
mt-Nd1,64572,58718
Rplp2,48230,44924
Eef1a1,49864,37140
Hsp90ab1,46134,34058
Rpl41,39338,37125
Actb,41168,32130
Rack1,36824,35119
Rps21,36571,33560
mt-Nd2,34249,32268
Rps12,37487,28518
Rplp1,32233,29541
Rps26,27521,26630
Rps14,27775,25676
Rpl18a,23424,23138
Tubb5,27432,19070
mt-Nd3,22072,23589
Rpl31,22489,21614
mt-Co1,25179,18142
Rps24,23976,16018
Rpl37,20388,18622
Rpl32,20782,17522
Rpl8,20288,17928
Rpsa,19535,18653
Rps15a,21396,16774
Rpl4,20228,17312
Rps27a,21042,16391
Rps4x,20439,16877
Tpt1,21040,15995
Rpl11,18632,16099
Rpl7a,18476,16087
Gnas,21582,12794
Rpl7,18195,15782
Rps5,17275,15883
Ptma,20921,11981
Eef2,17099,15070
Rpl14,17624,13686
Rpl5,17101,13857
Fth1,13365,17241
Rps3,15408,13845
Rpl22,15916,13235
Ppia,16602,12426
Atp5f1b,14450,14087
Rps15,14079,14289
Rps23,15465,12825
Map1b,17691,10093
Rpl10,14858,12863
Scd2,14416,13201
Rps17,14435,13008
Rps25,15415,11645
Npm1,15618,11437
Rps20,13590,13051
Tuba1a,13486,12863
Ubb,13637,12606
Rpl23a,13208,12951
Btf3,14550,11295
Rps29,13054,12257
Rps9,13497,11438
Pcbp2,14480,10123
mt-Nd5,12840,11619
Rpl23,13031,11349
Fau,12668,11430
Actg1,14690,8776
Rps19,12103,11065
Rpl27,12178,10888
Rps7,12813,10110
Rps16,13069,9761
Pfn1,12714,10053
Rps2,11308,10503
Rpl30,10616,11069
Rpl12,11966,9680
Rps18,11077,10553
Pabpc1,11527,9657
Ldha,11629,9350
Rpl3,11194,9301
Uba52,10649,9754
Cox4i1,10554,9298
Hspa8,10634,9123
H3f3b,11247,8302
Maged1,11512,7888
Calm1,9959,9414
Hnrnpab,11242,8067
Rpl6,10201,9025
Rpl9,10376,8814
Rpl28,9853,9157
Gnb1,10291,8576
Ftl1,9843,8812
Mif,9191,9455
Rpl34,10439,8114
Mest,10776,7746
Aldoa,9304,9070
Gm57854,9303,9067
Rpl27a,9568,8651
Rpl19,9068,9144
Rpl18,9518,8630
Naca,10244,7698
Gnb2,9694,8228
Rps10,8978,8826
S100a6,8109,9682
Rps11,9273,8221
Rplp0,9153,8097
Slc25a4,9042,8096
Uqcrq,7550,9339
Prph,8592,8279
Rpl17,9414,7452
Prkar1a,9734,7064
Ddit4,7916,8828
Ndufa4,9566,7063
Chchd10,6259,10086
Rpl39,8534,7797
Psmb1,7815,8248
Rps13,8644,7326
Ddx5,9910,6048
Gm49804,8083,7860
Ybx1,9095,6797
Hsp90aa1,9593,6252
Eno1,8659,7168
Eif5a,8179,7616
Cox5b,7935,7776
Rps8,8938,6735
Rpl13,8359,7090
Eef1b2,8028,7188
Atp1a1,8937,6274
Rpl13a,8482,6714
Eprs1,8245,6764
Bsg,7368,7638
Set,8619,6357
Nap1l1,8907,6019
Cct4,8176,6638
Eif3f,7898,6846
Rps28,7225,7476
Rps27,8066,6615
Rpl36,7901,6732
Chgb,9035,5555
Lgals1,6964,7540
Atp5mc3,7745,6584
Pkm,7751,6561
Rpl38,7358,6944
Cox7c,6939,6959
Cfl1,7587,6131
Tuba1b,7474,6124
Rpl37a,7189,6285
Tcf4,8162,5253
Cct2,7336,6070
Tagln2,7069,6044
Slc25a5,6966,6016
Ywhaz,7320,5616
Uba52rt,6532,6329
Eif3h,6284,6312
Ncl,8368,4149
Ptges3,7154,5298
Rpl35,7075,5315
Chchd2,6296,6008
Aco2,6362,5796
Gapdh,5946,6166
